"x","y","first_image","second_image","rad","delay1","delay2","delay3","delay4","delay5"
231,333,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
282,333,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
282,282,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
231,231,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
180,231,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
129,282,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
180,282,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
231,282,"Scene32_CON.png","Scene32_SEM.png",43.5,2000,3000,4000,0,1000
639,486,"Scene33_CON.png","Scene33_SEM.png",43.5,2000,3000,4000,0,1000
690,486,"Scene33_CON.png","Scene33_SEM.png",43.5,2000,3000,4000,0,1000
741,537,"Scene33_CON.png","Scene33_SEM.png",43.5,2000,3000,4000,0,1000
690,537,"Scene33_CON.png","Scene33_SEM.png",43.5,2000,3000,4000,0,1000
690,537,"Scene34_CON.png","Scene34_SEM.png",43.5,2000,3000,4000,0,1000
741,537,"Scene34_CON.png","Scene34_SEM.png",43.5,2000,3000,4000,0,1000
792,588,"Scene34_CON.png","Scene34_SEM.png",43.5,2000,3000,4000,0,1000
741,588,"Scene34_CON.png","Scene34_SEM.png",43.5,2000,3000,4000,0,1000
690,588,"Scene34_CON.png","Scene34_SEM.png",43.5,2000,3000,4000,0,1000
27,384,"Scene35_CON.png","Scene35_SEM.png",43.5,2000,3000,4000,0,1000
78,384,"Scene35_CON.png","Scene35_SEM.png",43.5,2000,3000,4000,0,1000
588,333,"Scene36_CON.png","Scene36_SEM.png",43.5,2000,3000,4000,0,1000
639,282,"Scene36_CON.png","Scene36_SEM.png",43.5,2000,3000,4000,0,1000
639,333,"Scene36_CON.png","Scene36_SEM.png",43.5,2000,3000,4000,0,1000
129,588,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
180,588,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
231,537,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
282,486,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
231,486,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
180,435,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
129,486,"Scene37_CON.png","Scene37_SEM.png",43.5,3000,4000,0,1000,2000
